DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
55;02;60794;29624;902;660;28062;478;0;794;0;1536;0;5854;0;0;0;0;298;0;0;5921;0;0;2044;11137;0
56;01;102893;54581;1060;568;52953;733;0;1467;0;3451;0;17803;0;0;0;0;2280;0;0;15077;0;0;2496;9646;0
56;02;101783;53108;1051;729;51328;821;0;1547;0;3057;0;17456;0;0;0;0;3468;0;0;11860;0;0;2270;10849;0
56;03;89152;47437;1084;783;45570;800;0;1179;0;2484;0;15192;0;0;0;0;2816;0;0;11034;0;0;1536;10529;0
56;04;103875;52716;1439;838;50439;959;0;1423;0;3018;0;17579;0;0;0;0;2301;0;0;11193;0;0;2174;11792;0
56;05;80421;39727;1023;396;38308;734;0;1741;0;2169;0;16373;0;0;0;0;1980;0;0;6907;0;0;1486;6918;0
56;06;90486;47502;921;800;45781;795;0;1534;0;2309;0;16077;0;0;0;0;5040;0;0;9360;0;0;1504;9162;0
57;01;91695;39341;922;524;37895;619;0;1488;0;2674;0;8740;0;0;0;0;643;0;0;8154;0;0;2123;13454;0
57;02;76737;36066;768;446;34852;410;0;1064;0;2258;0;7412;0;0;0;0;580;0;0;9205;0;0;2190;11733;0
57;03;75071;34805;819;481;33505;459;0;1122;0;2547;0;7739;0;0;0;0;582;0;0;7532;0;0;2249;11275;0
57;04;82219;40629;1203;824;38602;613;0;760;0;2091;0;5439;0;0;0;0;1048;0;0;9215;0;0;2459;16977;0
57;05;75005;32550;928;611;31011;511;0;623;0;1588;0;4520;0;0;0;0;982;0;0;7259;0;0;2044;13484;0
57;06;71858;26633;593;357;25683;503;0;621;0;1073;0;4757;0;0;0;0;586;0;0;4389;0;0;1403;12351;0
57;07;90975;40170;1146;558;38466;730;0;881;0;1922;0;7379;0;0;0;0;939;0;0;6957;0;0;2314;17344;0
57;08;93122;35006;906;529;33571;734;0;2733;0;1708;0;8740;0;0;0;0;549;0;0;4674;0;0;1573;12860;0
57;09;99319;42587;1046;607;40934;551;0;1198;0;2834;0;8303;0;0;0;0;756;0;0;12044;0;0;2365;12883;0
58;01;77743;35330;1378;585;33367;655;0;2550;0;1339;0;7972;0;0;0;777;0;1242;0;6100;0;0;2306;10426;0
58;02;84016;42257;1369;1028;39860;786;0;2843;0;1378;0;9973;0;0;0;870;0;1641;0;7125;0;0;2707;12537;0
59;01;59751;30087;477;294;29316;388;1925;0;3132;0;0;9606;0;0;0;0;0;0;0;6554;0;497;708;6506;0
59;02;88144;46406;807;483;45116;678;2901;0;4366;0;0;14876;0;0;0;0;0;0;0;9287;0;715;1198;11095;0
59;03;95208;46081;1004;589;44488;902;2779;0;1535;0;0;7443;0;0;0;0;0;0;0;10032;0;514;1241;20042;0
59;04;98941;55475;892;476;54107;599;1929;0;3558;0;0;11461;0;0;0;0;0;0;0;19336;0;1471;1684;14069;0
59;05;99111;57577;1387;639;55551;771;2779;0;3018;0;0;11696;0;0;0;0;0;0;0;14316;0;851;1766;20354;0
59;06;87728;54575;1078;648;52849;551;1885;0;2999;0;0;10587;0;0;0;0;0;0;0;16892;0;1132;1889;16914;0
59;07;72813;37161;692;401;36068;507;1426;0;2116;0;0;6946;0;0;0;0;0;0;0;12370;0;726;1166;10811;0
59;08;68426;27460;648;360;26452;609;1453;0;1573;0;0;6974;0;0;0;0;0;0;0;5145;0;321;778;9599;0
59;09;91709;48469;673;320;47476;432;1608;0;2964;0;0;9357;0;0;0;0;0;0;0;20651;0;1094;1349;10021;0
59;10;82204;38089;770;401;36918;527;1362;0;1773;0;0;6380;0;0;0;0;0;0;0;11748;0;448;1000;13680;0
59;11;90540;48823;843;511;47469;766;2520;0;3234;0;0;11956;0;0;0;0;0;0;0;12060;0;809;1373;14751;0
59;12;94151;50081;1102;858;48121;852;3951;0;1851;0;0;7173;0;0;0;0;0;0;0;11030;0;445;1387;21432;0
59;13;89621;46594;1592;581;44421;1232;2456;0;2827;0;0;8907;0;0;0;0;0;0;0;7323;0;567;1498;19611;0
59;14;99351;59296;1498;919;56879;928;1706;0;2537;0;0;10072;0;0;0;0;0;0;0;14343;0;706;1815;24772;0
